Country;GDP;logGDP;round
Austria;1.66463E+11;25.83804122;2
Belgium;2.05332E+11;26.04789279;2
Czech Republic;40728950705;24.430205;2
Germany;1.77167E+12;28.2029444;2
Denmark;1.38247E+11;25.65230984;2
Spain;5.36559E+11;27.0084416;2
Finland;1.41438E+11;25.67512974;2
France;1.26918E+12;27.86939184;2
Hungary;34753569693;24.27154813;2
Ireland;49305632408;24.62130416;2
Iceland;6468736356;22.59024662;2
Italy;1.18122E+12;27.79757117;2
Malta;2547163582;21.65824626;2
Netherlands;3.18331E+11;26.48635603;2
Norway;1.19792E+11;25.5090201;2
Poland;65977749037;24.91258339;2
Portugal;78713860217;25.08908509;2
Slovakia;12747380650;23.26859165;2
Sweden;2.61846E+11;26.29102312;2
Austria;2.17259E+11;26.1043567;3
Belgium;2.58246E+11;26.27717742;3
Czech Republic;65173130995;24.90031312;3
Germany;2.19495E+12;28.41717823;3
Denmark;1.77965E+11;25.9048538;3
Spain;6.34908E+11;27.17674522;3
Finland;1.35264E+11;25.63049488;3
France;1.49315E+12;28.03191026;3
Hungary;49073380174;24.61658257;3
Ireland;98893958263;25.31731398;3
Iceland;8982047589;22.91849371;3
Italy;1.25245E+12;27.85612008;3
Malta;4155187258;22.14762333;3
Netherlands;4.4705E+11;26.82593522;3
Norway;1.62284E+11;25.81261659;3
Poland;1.70031E+11;25.85924664;3
Portugal;1.2747E+11;25.5711499;3
Slovakia;30463670124;24.13980067;3
Sweden;2.74072E+11;26.33665735;3
Austria;4.32052E+11;26.79181164;4
Belgium;5.17328E+11;26.97194311;4
Czech Republic;2.36816E+11;26.19055136;4
Germany;3.74526E+12;28.95151325;4
Denmark;3.53361E+11;26.59075614;4
Spain;1.63186E+12;28.12074373;4
Finland;2.85716E+11;26.37826524;4
France;2.9303E+12;28.70612721;4
Hungary;1.58326E+11;25.7879196;4
Ireland;2.75447E+11;26.34166278;4
Iceland;18074622987;23.61777475;4
Italy;2.40866E+12;28.51008976;4
Malta;9090376446;22.93048216;4
Netherlands;9.5187E+11;27.58169431;4
Norway;4.6225E+11;26.85937171;4
Poland;5.33609E+11;27.00292935;4
Portugal;2.63416E+11;26.29700187;4
Slovakia;1.0088E+11;25.33719657;4
Sweden;5.17706E+11;26.97267364;4
Austria;4.17261E+11;26.75697813;5
Belgium;5.02765E+11;26.94338815;5
Czech Republic;2.18629E+11;26.1106418;5
Germany;3.69085E+12;28.93687767;5
Denmark;3.32121E+11;26.52876539;5
Spain;1.31325E+12;27.90352254;5
Finland;2.55648E+11;26.26706726;5
France;2.59515E+12;28.58466584;5
Hungary;1.43112E+11;25.68689475;5
Ireland;3.36378E+11;26.54149988;5
Iceland;24728285177;23.93121357;5
Italy;1.9618E+12;28.3048816;5
Malta;13489380931;23.32516862;5
Netherlands;8.3387E+11;27.44934292;5
Norway;3.98394E+11;26.71070719;5
Poland;5.24646E+11;26.98598927;5
Portugal;2.21358E+11;26.12304657;5
Slovakia;95649966261;25.28396118;5
Sweden;5.41019E+11;27.01671977;5
