country;hdi_1990;hdi_1999;hdi_2008;hdi_2017
Austria;0.825;0.866;0.898;0.916
Belgium;0.816;0.882;0.908;0.931
Czech Republic;0.742;0.796;0.863;0.897
Germany;0.829;0.884;0.923;0.944
Denmark;0.834;0.886;0.915;0.944
Spain;0.757;0.818;0.86;0.897
Finland;0.814;0.881;0.912;0.934
France;0.791;0.84;0.873;0.898
Hungary;0.72;0.763;0.823;0.845
Ireland;0.737;0.837;0.899;0.934
Iceland;0.811;0.862;0.902;0.954
Italy;0.778;0.835;0.878;0.888
Malta;0.73;0.78;0.841;0.901
Netherlands;0.847;0.888;0.912;0.937
Norway;0.838;0.901;0.94;0.959
Poland;0.716;0.783;0.831;0.875
Portugal;0.701;0.785;0.822;0.859
Slovakia;0.692;0.755;0.831;0.856
Sweden;0.81;0.899;0.905;0.941
