Country,GINI,round
Austria,30.8,2
Belgium,25.7,2
Czech Republic,20.7,2
Germany,29.5,2
Denmark,26.2,2
Spain,32,2
Finland,22.9,2
France,32.1,2
Hungary,29.9,2
Ireland,35.5,2
Iceland,26.8,2
Italy,32.6,2
Malta,28,2
Netherlands,31.1,2
Norway,25.2,2
Poland,38,2
Portugal,38.8,2
Slovakia,27.1,2
Sweden,24.9,2
Austria,29.7,3
Belgium,33.1,3
Czech Republic,26.6,3
Germany,29,3
Denmark,23.8,3
Spain,33.8,3
Finland,27.2,3
France,32.5,3
Hungary,29.9,3
Ireland,33,3
Iceland,26.8,3
Italy,36.7,3
Malta,28,3
Netherlands,28.1,3
Norway,27.4,3
Poland,38,3
Portugal,38.8,3
Slovakia,27.1,3
Sweden,27.2,3
Austria,30.4,4
Belgium,28.4,4
Czech Republic,26.3,4
Germany,30.9,4
Denmark,25.2,4
Spain,34.2,4
Finland,27.8,4
France,33,4
Hungary,27.5,4
Ireland,30.9,4
Iceland,31.8,4
Italy,33.8,4
Malta,29,4
Netherlands,29.3,4
Norway,27,4
Poland,33.5,4
Portugal,36.6,4
Slovakia,26,4
Sweden,28.1,4
Austria,29.7,5
Belgium,27.4,5
Czech Republic,24.9,5
Germany,31.9,5
Denmark,28.7,5
Spain,34.7,5
Finland,27.4,5
France,31.6,5
Hungary,30.6,5
Ireland,31.4,5
Iceland,26.1,5
Italy,35.9,5
Malta,29.2,5
Netherlands,28.5,5
Norway,27,5
Poland,29.7,5
Portugal,33.8,5
Slovakia,23.2,5
Sweden,28.8,5
