Country,round,KOFGI
Austria,2,74
Austria,3,84
Austria,4,88
Austria,5,88
Belgium,2,80
Belgium,3,86
Belgium,4,89
Belgium,5,90
Czech Republic,2,65
Czech Republic,3,73
Czech Republic,4,82
Czech Republic,5,85
Germany,2,74
Germany,3,81
Germany,4,87
Germany,5,89
Denmark,2,77
Denmark,3,84
Denmark,4,88
Denmark,5,88
Spain,2,65
Spain,3,77
Spain,4,82
Spain,5,86
Finland,2,70
Finland,3,81
Finland,4,86
Finland,5,88
France,2,73
France,3,80
France,4,86
France,5,88
Hungary,2,59
Hungary,3,75
Hungary,4,84
Hungary,5,84
Ireland,2,72
Ireland,3,80
Ireland,4,83
Ireland,5,86
Iceland,2,54
Iceland,3,71
Iceland,4,75
Iceland,5,72
Italy,2,68
Italy,3,77
Italy,4,81
Italy,5,83
Malta,2,55
Malta,3,65
Malta,4,76
Malta,5,77
Netherlands,2,78
Netherlands,3,85
Netherlands,4,88
Netherlands,5,91
Norway,2,74
Norway,3,81
Norway,4,84
Norway,5,85
Poland,2,51
Poland,3,66
Poland,4,78
Poland,5,81
Portugal,2,59
Portugal,3,75
Portugal,4,81
Portugal,5,84
Slovak Republic,2,56
Slovak Republic,3,63
Slovak Republic,4,81
Slovak Republic,5,83
Sweden,2,75
Sweden,3,85
Sweden,4,89
Sweden,5,89
